Contig_ID	S1_R1_001.masked	S2_R1_001.masked	S3_R1_001.masked	S4_R1_001.masked	S5_R1_001.masked	S6_R1_001.masked	S7_R1_001.masked	S8_R1_001.masked	S9_R1_001.masked	S10_R1_001.masked	S11_R1_001.masked	S12_R1_001.masked
Gene_174	16	32	8	32	41	23	31	26	17	21	18	20
Gene_175	1	0	5	8	2	7	1	2	0	2	2	6
Gene_176	1	3	1	2	1	0	6	5	4	3	4	3
Gene_177	8	0	9	1	17	2	2	3	3	1	3	1
Gene_178	1	8	2	2	0	1	6	2	5	0	0	2
Gene_179	2	10	2	4	9	3	6	2	10	7	4	1
Gene_180	5	3	3	1	7	10	0	2	5	9	4	0
Gene_181	0	0	3	6	6	7	2	9	2	2	2	1
Gene_182	52	94	55	71	93	104	104	83	61	62	78	79
Gene_183	10	17	39	81	5	1	9	9	61	31	4	1
Gene_184	1	3	1	0	4	2	4	2	1	0	3	4
Gene_185	8	5	1	11	6	11	8	8	10	0	4	2
Gene_186	5	2	4	5	7	7	7	6	6	2	4	3
Gene_187	1	2	2	2	1	8	10	3	1	2	2	4
Gene_188	1	1	1	4	2	4	3	2	1	3	1	1
Gene_189	2	1	0	11	3	9	3	0	2	3	0	1
Gene_190	2	7	8	13	12	9	9	3	8	11	4	6
Gene_191	3	1	4	9	2	21	0	6	5	1	2	0
Gene_192	6	9	8	4	4	11	9	8	11	11	5	7
Gene_193	1	2	5	9	3	1	1	2	5	4	2	2
Gene_194	3	2	6	1	1	5	4	6	1	5	2	1
Gene_195	0	2	2	0	3	4	3	2	2	0	1	5
Gene_196	0	3	2	1	0	1	7	1	0	6	3	5
Gene_197	1	9	17	30	0	1	4	10	15	15	0	1
Gene_198	0	2	0	4	0	1	2	1	8	4	3	2
Gene_199	37	58	43	57	68	65	60	67	56	62	39	72
Gene_200	3	0	3	4	1	4	4	3	2	2	2	3
Gene_201	36	48	88	149	36	103	59	19	87	95	90	121
Gene_202	2	1	7	7	2	5	0	1	3	10	0	0
Gene_203	9	10	14	18	12	10	8	22	22	23	7	21
Gene_204	2	6	10	6	2	1	1	6	6	11	4	1
Gene_205	0	0	6	4	1	6	1	0	1	5	0	0
Gene_206	0	1	1	1	3	4	6	5	3	4	2	13
Gene_207	15	15	22	92	44	19	18	10	25	45	12	13
