Cluster	Canon-4	Canon-6	Canon-7	Canon-8_4008	Canon-10	Canon-12	Canon-14_3060	Canon-15	Canon-17	Canon-19	Canon-21_3053	Canon-23	Canon-25	Canon-27_3073	Canon-29_4003	Canon-31_3040	Canon-33_2027	Canon-34_2033	Canon-35	Canon-36_2024	Canon-38_1004.combined	Canon-40_3036.combined	Canon-42_2026.combined	Canon-43	Canon-44	Canon-45	Canon-46_4035	Canon-48	Canon-49	Canon-50	Canon-52	Canon-54	Canon-56	Canon-57	Canon-58
SAR406_Cluster_14	8	0	0	4	4	8	12	0	24	1	6	0	1	11	0	5	2	5	3	7	0	4	6	0	2	0	0	3	0	8	5	9	7	5	6
SAR406_Cluster_488	12	5	1	1	8	4	7	0	16	0	10	1	0	9	2	0	2	4	4	6	7	5	5	0	2	2	1	5	4	6	5	6	8	2	6
SAR406_Cluster_447	8	6	2	3	7	1	6	0	19	0	11	3	1	7	4	1	2	4	2	4	7	7	5	2	1	3	0	0	2	7	2	7	9	4	7
SAR406_Cluster_622	5	5	1	2	4	3	4	0	24	1	8	0	0	13	2	7	1	5	4	3	7	6	11	0	2	1	0	2	3	6	4	6	8	1	3
SAR406_Cluster_263	11	2	0	2	3	7	9	0	22	0	4	1	1	14	1	2	6	4	2	5	1	5	7	0	0	1	0	0	1	2	3	18	12	2	3
SAR406_Cluster_379	8	5	0	4	10	3	5	0	18	0	16	1	1	4	2	0	0	4	0	5	7	8	7	3	3	1	1	3	0	4	5	12	6	2	3
SAR406_Cluster_104	14	2	1	1	7	10	3	0	16	1	15	0	0	13	4	3	4	5	4	4	0	4	7	1	1	0	1	1	0	4	3	6	10	2	3
SAR406_Cluster_641	11	6	2	2	4	7	9	0	14	0	13	0	0	11	4	0	2	7	4	3	2	2	5	1	3	1	0	2	1	1	8	8	8	5	4
SAR406_Cluster_564	9	1	0	3	1	4	4	0	16	0	9	0	2	7	5	1	0	6	8	11	1	1	6	2	1	2	0	2	2	8	4	13	9	10	1
SAR406_Cluster_767	11	2	0	2	3	4	3	0	12	0	15	0	0	11	3	0	1	5	2	6	3	3	4	7	3	2	0	2	6	2	5	9	9	8	6
SAR406_Cluster_213	7	1	0	6	5	4	6	0	17	0	12	0	1	13	7	2	2	5	1	4	1	5	4	0	0	0	0	1	1	7	3	9	13	8	3
SAR406_Cluster_508	6	0	0	1	5	6	5	0	21	1	28	0	1	8	1	2	1	4	1	2	4	7	9	2	0	1	0	0	2	3	7	4	10	4	2
SAR406_Cluster_429	9	1	1	2	9	6	5	0	22	1	6	1	0	12	3	2	2	4	2	3	1	6	6	0	2	4	1	3	4	4	2	5	8	7	1
SAR406_Cluster_951	6	1	0	4	7	2	5	1	11	0	17	0	1	5	5	7	1	3	3	6	3	1	10	2	1	1	0	3	1	6	1	10	11	8	2
SAR406_Cluster_849	10	0	1	0	3	1	3	1	33	2	12	0	1	13	1	1	3	3	5	6	1	5	7	1	0	3	0	1	2	1	5	7	6	5	0
SAR406_Cluster_651	10	1	0	1	5	0	10	1	15	1	13	2	0	8	3	3	4	2	4	1	1	8	7	1	2	1	0	1	3	6	4	8	10	4	2
SAR406_Cluster_676	4	5	1	3	7	7	3	0	11	1	17	1	0	7	5	0	1	2	2	1	2	3	7	1	3	2	2	3	3	7	10	8	5	4	4
SAR406_Cluster_307	11	0	0	2	1	8	3	0	19	0	8	0	0	11	1	1	2	3	2	10	5	4	11	2	1	2	1	5	2	3	4	9	7	3	0
SAR406_Cluster_520	9	4	0	7	4	3	8	0	20	0	11	0	0	3	3	2	3	2	4	4	4	2	9	2	1	1	1	3	0	2	2	15	9	2	1
SAR406_Cluster_484	11	2	0	0	8	6	4	0	17	1	7	3	1	6	2	0	3	5	1	3	2	4	5	1	1	1	2	3	2	7	11	9	4	1	7
SAR406_Cluster_760	5	5	0	3	4	8	8	0	13	0	12	0	0	7	0	1	2	9	3	2	1	4	9	0	5	7	1	4	3	2	4	7	5	2	4
SAR406_Cluster_1870	4	3	0	0	5	5	1	0	13	0	12	0	0	2	4	0	1	3	2	5	4	11	5	6	4	3	0	6	4	8	8	10	5	4	2
SAR406_Cluster_539	5	1	0	1	6	4	7	0	13	0	14	0	0	7	3	1	1	8	5	5	3	4	12	0	3	3	0	1	0	5	5	10	6	2	4
SAR406_Cluster_778	6	5	0	3	3	5	6	0	22	0	10	0	0	8	2	0	0	5	3	6	1	3	11	0	1	4	0	0	3	2	5	9	7	4	5
SAR406_Cluster_280	9	7	1	5	11	1	3	0	16	1	17	1	0	6	5	3	1	3	1	3	2	1	7	1	1	4	0	1	1	10	2	5	6	1	0
SAR406_Cluster_93	7	6	0	1	6	3	3	1	13	0	15	1	1	5	3	2	0	4	2	3	2	3	10	0	0	1	1	1	0	10	14	8	5	1	3
SAR406_Cluster_110	10	7	0	1	7	5	2	0	11	0	13	0	1	8	2	2	0	6	0	4	4	5	8	0	0	1	1	4	5	2	3	10	8	5	0
SAR406_Cluster_37	4	3	0	1	3	1	3	0	14	1	10	1	0	11	6	2	1	5	3	3	7	5	4	0	3	1	1	3	4	3	3	9	7	6	6
SAR406_Cluster_148	3	3	0	3	3	1	3	0	18	1	12	0	1	9	3	2	3	7	5	1	5	3	2	3	3	5	0	6	4	2	3	5	3	7	5
SAR406_Cluster_533	7	1	0	3	5	5	5	0	19	0	9	3	0	5	2	1	1	10	4	7	4	4	10	1	3	1	0	2	1	3	3	3	7	3	2
SAR406_Cluster_282	6	6	1	2	7	3	3	0	11	1	17	1	0	4	12	4	1	5	1	2	3	3	4	0	2	2	2	1	4	8	4	4	4	1	4
SAR406_Cluster_341	12	3	0	3	4	4	4	1	17	1	10	1	0	10	3	3	1	3	3	7	1	1	6	0	0	3	0	1	0	7	4	7	6	5	1
SAR406_Cluster_740	4	0	0	0	1	2	3	0	29	0	8	1	0	17	3	4	1	6	6	2	4	1	3	1	2	1	0	2	0	3	0	7	8	8	5
SAR406_Cluster_125	6	4	0	1	8	7	5	0	15	0	12	0	1	8	4	1	1	5	2	5	2	5	7	1	1	3	0	0	1	2	1	7	9	4	3
SAR406_Cluster_600	6	3	0	1	7	2	4	0	12	0	12	1	0	3	3	2	4	5	4	6	7	2	7	3	2	4	0	1	1	7	6	4	8	3	1
SAR406_Cluster_10	12	5	1	1	7	7	6	0	17	0	9	1	1	6	2	1	1	1	3	5	3	1	4	1	1	0	0	1	0	4	4	10	6	5	4
SAR406_Cluster_299	7	5	0	4	9	2	2	0	7	0	10	0	1	9	4	0	0	1	1	5	4	5	5	0	2	3	0	4	4	12	6	4	5	6	2
SAR406_Cluster_597	9	3	2	1	7	5	4	0	13	0	9	1	0	9	4	1	6	0	2	0	9	4	6	0	1	1	1	1	1	7	5	4	5	3	5
SAR406_Cluster_1873	4	2	0	0	6	2	4	0	14	0	13	0	0	5	4	0	2	3	0	9	4	12	6	1	2	4	2	4	5	9	5	3	1	3	0
SAR406_Cluster_298	9	4	0	6	7	3	1	0	15	2	20	0	0	2	2	2	2	3	0	4	1	5	4	0	2	1	0	0	2	9	3	7	6	5	1
SAR406_Cluster_1167	7	3	0	2	3	1	2	0	6	0	2	0	1	1	0	2	2	0	2	3	11	6	5	1	4	6	3	10	11	8	4	10	8	2	2
